PROJECT_TITLE,NIH_SPENDING_CATS
Adiporedoxin and the Regulation of Adipocyte Function in Human Obesity,Clinical Research; Diabetes; Nutrition; Obesity; 
"Vitamin D, Steroids, and Asthma in African American Youth",Asthma; Clinical Research; Complementary and Alternative Medicine; Lung; Nutrition; Pediatric; 
Partnership for Primary Care Imaging,Antimicrobial Resistance; Bioengineering; Clinical Research; Diabetes; Diagnostic Radiology; Eye Disease and Disorders of Vision; Health Services; Infectious Diseases; Obesity; Otitis Media; Pediatric; 
Mitochondrial structure and non-syndromic and aminoglycoside-related deafness,Brain Disorders; Neurosciences; 
Inflammation and cancer treatment,Cancer; Prevention; 
"Diagnosis, Pathophysiology And Molecular Biology Of Pheochromocytoma",Cancer; Clinical Research; Genetic Testing; Genetics; Hematology; Rare Diseases; 
Education and Information Core,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Brain Disorders; Clinical Research; Dementia; Neurodegenerative; Neurosciences; 
TREC Bioinformatics and Biostatistics Shared Resource Core,Bioengineering; Breast Cancer; Cancer; Networking and Information Technology R&D; Obesity; 
Molecular Control of Muscle Fuel Metabolism,Biotechnology; Diabetes; Genetics; Nutrition; Obesity; 
Semaphorin3d and anomalous pulmonary venous return,Cardiovascular; Congenital Structural Anomalies; Genetics; Heart Disease; Pediatric; 
Support For Thyroid Cancer & Other Thyroid Diseases in Belarus,Biodefense; Cancer; Clinical Research; Conditions Affecting the Embryonic and Fetal Periods; Pediatric; Pediatric Research Initiative; Perinatal Period - Conditions Originating in Perinatal Period; 
An Integrated Microarray Printing and Detection System,Bioengineering; Biotechnology; 
Computational and Biochemical Studies of Allostery in the IGPS of T. maritima,Genetics; Infectious Diseases; Networking and Information Technology R&D; 
Universal GABA-edited MRS at 3T,Bioengineering; Clinical Research; Diagnostic Radiology; Neurosciences; 
Properties and functional consequences of astrocyte-neuron signaling in the dorsolateral striatum,Basic Behavioral and Social Science; Behavioral and Social Science; Neurosciences; 
"External validation of GEMCaP, a prognostic DNA biomarker set for CaP recurrence",Biotechnology; Cancer; Genetics; Human Genome; Prevention; Prostate Cancer; Urologic Diseases; 
Basophil phenotype & activation in peanut allergy and oral Immunotherapy,Clinical Research; Food Allergies; Genetics; 
Function of Gut Peptides in Isolated Gut Muscle Cells,Biotechnology; Diabetes; Digestive Diseases; 
Role of the IL-13 system in dopaminergic cell death,Brain Disorders; Neurodegenerative; Neurosciences; Parkinson's Disease; 
Optimizing Palliative and End of Life Care for Patients with Cancer,Behavioral and Social Science; Cancer; Clinical Research; Pain Conditions - Chronic; Pain Research; 
Defining microRNA Signatures for Early Detection in BRCA-Mutated Ovarian Cancer,Biotechnology; Cancer; Genetics; Human Genome; Ovarian Cancer; Prevention; Rare Diseases; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; 
Genetic regulation of cardiac proliferation during development and in regeneration,Cardiovascular; Genetics; Heart Disease; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Embryonic - Non-Human; 
TET1-mediated 5-hydroxymethylcytosine modification & airway hyperresponsiveness,Asthma; Climate-Related Exposures and Conditions; Genetics; Health Effects of Indoor Air Pollution; Lung; 
Computational Assembly of Beta Barrel Membrane Protein,Bioengineering; Emerging Infectious Diseases; Infectious Diseases; Nanotechnology; 
Predictors of Late-life Cognitive Health in Type 1 Diabetes,Acquired Cognitive Impairment; Aging; Autoimmune Disease; Behavioral and Social Science; Brain Disorders; Clinical Research; Depression; Diabetes; Mental Health; Neurosciences; Prevention; 
Innate Recognition of Allogeneic Non-Self,Organ Transplantation; Transplantation; 
Administrative Core,Brain Cancer; Brain Disorders; Cancer; Neurosciences; Pediatric; Pediatric Cancer; Rare Diseases; 
The Role of GDNF Family Ligands in Itch,Neurosciences; 
Spike Timing-Dependent Plasticity of Neural Circuits,Eye Disease and Disorders of Vision; Neurosciences; 
Web Software for Drug Targeting Signaling Networks in Primary Cell Subsets,Bioengineering; Networking and Information Technology R&D; 
Biophysical Assessment Core (Page 160),Aging; Bioengineering; Brain Disorders; Diagnostic Radiology; HIV/AIDS; Infectious Diseases; Mental Health; Neurosciences; 
"Maladaptive parenting, activity spaces, alcohol and the substance use environmen","Alcoholism, Alcohol Use and Health; Basic Behavioral and Social Science; Behavioral and Social Science; Cancer; Child Abuse and Neglect Research; Pediatric; Prevention; Substance Abuse; Violence Research; "
Leptin and mTOR: metabolic partners in autoimmunity,Autoimmune Disease; Lupus; Nutrition; 
DNA Excision Repair and DNA Damage Checkpoints,Biotechnology; Cancer; Climate-Related Exposures and Conditions; Genetics; 
Synaptic Actin Regulatory Proteins in Down Syndrome,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Brain Disorders; Dementia; Down Syndrome; Genetics; Intellectual and Developmental Disabilities (IDD); Neurodegenerative; Neurosciences; Pediatric; 
Admin Core,Bioengineering; HIV/AIDS; Infectious Diseases; 
Metabolomics of low-trauma fracture among older women with diabetes,Aging; Clinical Research; Diabetes; Nutrition; Osteoporosis; 
Development of Psychopathology:  From Brain and Behavioral Science to Intervention,Behavioral and Social Science; Brain Disorders; Mental Health; Neurosciences; 
Harvard Clinical and Translational Science Center,Clinical Research; HIV/AIDS; 
Therapeutic targeting of CD47 regulates tumor cell bioenergetics and mitophagy,Breast Cancer; Cancer; 
Transgenic/Knockout Mouse ,Biotechnology; Cancer; Genetics; 
Recruitment of End-Processing Factors in DSB Repair,Aging; Genetics; Prevention; Rare Diseases; 
Live Attenuated Oral Typhoid-Shigellosis Vaccine,Biodefense; Biotechnology; Digestive Diseases; Emerging Infectious Diseases; Foodborne Illness; Genetics; Immunization; Infectious Diseases; Orphan Drug; Prevention; Rare Diseases; Vaccine Related; 
Cellular and Molecuar Mechanisms of Immune Inflammatory Reactions,Clinical Research; 
Anti-atherogenic Mechanisms of the Dual Rho-GEF Kalirin,Atherosclerosis; Cardiovascular; Genetics; 
The Kynurenine Pathway in Pulmonary Arterial Hypertension,Lung; Rare Diseases; 
USING A DROSOPHILA MODEL TO IDENTIFY INHIBITORS OF OXALATE NEPHROLITHIASIS,Genetics; Human Genome; Kidney Disease; Prevention; Urologic Diseases; 
Convergent Synaptic Mechanisms in Neurodevelopmental Disorders,Behavioral and Social Science; Brain Disorders; Down Syndrome; Genetics; Intellectual and Developmental Disabilities (IDD); Mental Health; Neurosciences; Pediatric; Rare Diseases; 
Obesity and Environmental Factors: Implications for Urban Planning,Nutrition; Obesity; Prevention; 
"Genes, Environment, Family and Mental Health","Alcoholism, Alcohol Use and Health; Anxiety Disorders; Behavioral and Social Science; Brain Disorders; Clinical Research; Genetics; Human Genome; Mental Health; Post-Traumatic Stress Disorder (PTSD); Serious Mental Illness; Substance Abuse; "
Attenuation of CMV Vector Pathogenicity and Transmission by Altering Viral Tropis,Biotechnology; HIV/AIDS; Immunization; Infectious Diseases; Prevention; Vaccine Related; Vaccine Related (AIDS); 
Biomedical Informatics,Bioengineering; Biotechnology; Cancer; Networking and Information Technology R&D; 
Statistical Learning in Language Acquisition,Basic Behavioral and Social Science; Behavioral and Social Science; Clinical Research; Pediatric; 
FcRn-targeted mucosal HIV vaccine,Biotechnology; HIV/AIDS; Immunization; Infectious Diseases; Prevention; Vaccine Related; Vaccine Related (AIDS); 
Molecular Basis of Heart Failure,Cardiovascular; Heart Disease; 
Abnormal STAT3 signaling and aberrant O-glycosylation of IgA1 in IgA nephropathy,Autoimmune Disease; Clinical Research; Kidney Disease; 
DCTD Phase I/II CT PK/PD Studies,Cancer; 
Ribonucleases A in Health and Disease,Biodefense; Emerging Infectious Diseases; Infectious Diseases; 
Project 1,Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Injury (total) Accidents/Adverse Effects; Injury - Trauma - (Head and Spine); Injury - Traumatic brain injury; Neurosciences; 
Host-mediated zinc sequestration during Acinetobacter baumannii infection,Biodefense; Emerging Infectious Diseases; Infectious Diseases; 
Illness Mgt & Recovery Treatment Integrity Scale & Intervention Development,Clinical Research; Mental Health; 
ADAM17 in pancreatic cancer and pancreatitis,Cancer; Digestive Diseases; Genetics; Pancreatic Cancer; Rare Diseases; 
Nicotine Dysregulates Lung Differentiation through N-myc,Lung; Pediatric; Perinatal Period - Conditions Originating in Perinatal Period; Prevention; Smoking and Health; Stem Cell Research; Stem Cell Research - Embryonic - Human; Tobacco; 
Decision Making and Orbitofrontal Cortex,Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Drug Abuse (NIDA only); Mental Health; Neurosciences; Substance Abuse; 
Imaging alpha7-nAChRs in Traumatic Brain Injury,Brain Disorders; Diagnostic Radiology; Injury (total) Accidents/Adverse Effects; Injury - Trauma - (Head and Spine); Injury - Traumatic brain injury; Neurosciences; 
INVESTIGATOR DEVELOPMENT CORE,"Aging; Alcoholism, Alcohol Use and Health; Behavioral and Social Science; Clinical Research; Prevention; Sexual and Gender Minorities (SGM/LGBT*); Substance Abuse; "
Protein Expression,Biotechnology; HIV/AIDS; Immunization; Prevention; Vaccine Related; Vaccine Related (AIDS); 
Yeast Genetic Approach to Enhance the Immunogenicity of HIV Envelope Glycoprotein,Biotechnology; Genetics; HIV/AIDS; Immunization; Infectious Diseases; Prevention; Vaccine Related; 
Striving Towards Empowerment and Medication Adherence (STEP-AD),Behavioral and Social Science; Clinical Research; Clinical Trials and Supportive Activities; Comparative Effectiveness Research; HIV/AIDS; Infectious Diseases; Mental Health; Pediatric; Pediatric AIDS; Prevention; 
Regulation of RNA metabolism and cell growth control by SR protein kinases,Cancer; Genetics; 
Supplement to cover cost of participation in BIO Innovation Zone Exhibit,Bioengineering; 
"Animal care: supporting research on autoimmune, inflammatory and muscle diseases",Arthritis; Autoimmune Disease; Rare Diseases; 
Constitutional and metabolic factors associated with the development of Hand OA,Arthritis; Bioengineering; Nutrition; Obesity; Osteoarthritis; Pain Conditions - Chronic; Pain Research; 
"Regulation of Vibrio cholerae motility, stress response and detachment from intes",Digestive Diseases; Emerging Infectious Diseases; Foodborne Illness; Genetics; Infectious Diseases; Rare Diseases; 
Administrative Core,Cancer; 
Structural Biology of Amyloid and Amyloid-like Proteins,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Arthritis; Autoimmune Disease; Brain Disorders; Dementia; Emerging Infectious Diseases; Infectious Diseases; Neurodegenerative; Neurosciences; Parkinson's Disease; Rare Diseases; Rheumatoid Arthritis; Transmissible Spongiform Encephalopathy (TSE); 
Interdisciplinary Biomedical Research Training Program,Clinical Research; Foodborne Illness; 
Physiology of Photoreceptors,Eye Disease and Disorders of Vision; Neurosciences; 
Effects of Host and Viral Aging on Neurocognition,Acquired Cognitive Impairment; Aging; Antimicrobial Resistance; Brain Disorders; Clinical Research; Genetics; HIV/AIDS; Infectious Diseases; Neurosciences; 
Inhibition of proliferation by Laminin,Cancer; 
Mendelian Disease - Asthma Comorbidity to Find Subgroup-Specific Asthma Genes,Asthma; Clinical Research; Genetics; Lung; 
University of Michigan's TMJD and Orofacial Pain Interdisciplinary Consortium,Bioengineering; Biotechnology; Dental/Oral and Craniofacial Disease; Neurosciences; Pain Conditions - Chronic; Pain Research; Regenerative Medicine; Temporomandibular Muscle/Joint Disorder (TMJD); 
From Mechanisms to Treatment of Mental Illness: Translational Research Training,Brain Disorders; Mental Health; 
Intraciliary calcium directs cardiac left-right asymmetry,Cardiovascular; Congenital Structural Anomalies; Heart Disease; Pediatric; 
Interface of memory CD4 T cells and innate immunity in viral response,Biodefense; Biotechnology; Emerging Infectious Diseases; Immunization; Infectious Diseases; Vaccine Related; 
Does geographic access to care impact pediatric ESRD outcomes?,Behavioral and Social Science; Clinical Research; Health Services; Kidney Disease; Organ Transplantation; Pediatric; Transplantation; 
Adrenal function and adverse CV outcomes at age 6 after extremely preterm birth,Cardiovascular; Clinical Research; Diabetes; Genetics; Heart Disease; Hypertension; Infant Mortality/ (LBW); Lung; Neurosciences; Nutrition; Obesity; Pediatric; Perinatal - Birth - Preterm (LBW); Perinatal - Neonatal Respiratory Distress Syndrome; Perinatal Period - Conditions Originating in Perinatal Period; Prevention; 
Gene Expression and Microarrays,Biotechnology; Genetics; Human Genome; 
Mouse Model of Progressive Multifocal Leukoencephalopathy,Brain Disorders; Emerging Infectious Diseases; HIV/AIDS; Infectious Diseases; Neurodegenerative; Neurosciences; Prevention; Rare Diseases; 
MicroRNAs and hematopoietic differentiation,Biotechnology; Genetics; Hematology; 
CNS Stem Cells for neurodegenerative disease research,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease Related Dementias (ADRD); Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Brain Disorders; Dementia; Frontotemporal Dementia (FTD); Neurodegenerative; Neurosciences; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; Transplantation; 
Project 2: Structural studies of prions,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Brain Disorders; Dementia; Emerging Infectious Diseases; Infectious Diseases; Injury (total) Accidents/Adverse Effects; Injury - Trauma - (Head and Spine); Neurodegenerative; Neurosciences; Rare Diseases; Transmissible Spongiform Encephalopathy (TSE); 
Social Media Intervention for Young Adult Smokers,Behavioral and Social Science; Clinical Research; Clinical Trials and Supportive Activities; Drug Abuse (NIDA only); Prevention; Smoking and Health; Substance Abuse; Tobacco; 
Thyrocyte protein transport to the cell surface,Genetics; Rare Diseases; 
A Mouse Model of DNMT3A-Associated Hematologic Malignancy,Cancer; Genetics; Hematology; Orphan Drug; Rare Diseases; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; 
BIOINFORMATICS,Cancer; Clinical Research; Clinical Trials and Supportive Activities; Networking and Information Technology R&D; 
Targeted Analysis Resource Core,Bioengineering; Nutrition; Prevention; Smoking and Health; Tobacco; 
Alzheimer's disease translational research training,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Brain Disorders; Dementia; Neurodegenerative; Neurosciences; 
MicroRNA-Based Radiation Biodosimeter (MiRAD),Biodefense; Bioengineering; Biotechnology; Clinical Research; Emerging Infectious Diseases; Genetics; Infectious Diseases; 
Identification of Causal Variants in Psoriasis,Autoimmune Disease; Clinical Research; Genetics; Human Genome; Psoriasis; 
Reading: Effects of Aging on the Interplay of Knowledge and Processing,Aging; Basic Behavioral and Social Science; Behavioral and Social Science; Clinical Research; Mental Health; Neurosciences; 
Multimodal imaging of cognitive networks in epilepsy: Implications for surgery,Aging; Basic Behavioral and Social Science; Behavioral and Social Science; Bioengineering; Brain Disorders; Clinical Research; Diagnostic Radiology; Epilepsy; Mental Health; Neurodegenerative; Neurosciences; Patient Safety; 
Regulation and function of Growth Differentiation Factor 11 during development and aging,Aging; 
Administrative Core,American Indians / Alaska Natives; Arctic; 
Interactive Omics: Black raspberry metabolites and the oral microbiome in smokers,Cancer; Clinical Research; Complementary and Alternative Medicine; Dental/Oral and Craniofacial Disease; Digestive Diseases; Genetics; Human Genome; Infectious Diseases; Nutrition; Prevention; Rare Diseases; Smoking and Health; Tobacco; 
Omics approaches for natural products discovery,Biotechnology; 
Collaborative and Service Projects pp. 142-227,Bioengineering; Biotechnology; 
IGF::OT::IGF PATTERNS OF CARE/QUALITY OF CARE STUDY: DIAGNOSIS YEAR 2014 (SEER).,Cancer; Clinical Research; Colo-Rectal Cancer; Digestive Diseases; Health Services; Hematology; Patient Safety; Rare Diseases; 
Quantitative Parenchyma Descriptor as an Imaging Biomarker of Breast Cancer Risk,Breast Cancer; Cancer; Clinical Research; Diagnostic Radiology; Health Services; Prevention; 
Induction of polysaccharide vaccine responses in the young by interleukin-7,Biotechnology; HIV/AIDS; Immunization; Pediatric; Prevention; Vaccine Related; Vaccine Related (AIDS); 
Manipulation of epithelial cells by Shigella,Biodefense; Digestive Diseases; Emerging Infectious Diseases; Infectious Diseases; 
The Role of SIRT6 and Metabolism in APC Mediated Tumorigenesis,Biotechnology; Cancer; Colo-Rectal Cancer; Digestive Diseases; Genetics; Stem Cell Research; Stem Cell Research - Induced Pluripotent Stem Cell; Stem Cell Research - Induced Pluripotent Stem Cell - Human; 
Estrogen Receptor Signaling Pathways in Bone,Aging; Contraception/Reproduction; Estrogen; Neurosciences; Osteoporosis; Prevention; 
Adaptive Strategies for Preventing & Treating Lapses of Retention in Care (AdaPT),Behavioral and Social Science; Clinical Research; Clinical Trials and Supportive Activities; Comparative Effectiveness Research; HIV/AIDS; Health Services; Mental Health; Pediatric; Pediatric AIDS; Prevention; 
Translational Biomarker Core,Biotechnology; Clinical Research; 
Novel Immunotherapies for Lymphoid Malignancies,Biotechnology; Cancer; Hematology; Lymphoma; Orphan Drug; Rare Diseases; 
Deciphering Myofilament Modifications in Ischemic Cardiomyopathy,Cardiovascular; Clinical Research; Heart Disease; Heart Disease - Coronary Heart Disease; Prevention; 
Hardening Software for Rule-based Modeling.,Bioengineering; Networking and Information Technology R&D; 
"Ambulatory BP, kidney function, cognitive & physical function in older adults",Aging; Behavioral and Social Science; Cardiovascular; Clinical Research; Hypertension; Kidney Disease; Prevention; 
Disease Mechanisms in Human Ubiquilinopathy,ALS; Acquired Cognitive Impairment; Aging; Brain Disorders; Dementia; Genetics; Neurodegenerative; Neurosciences; Rare Diseases; 
Neuroplasticity-Based Cognitive Remediation for Pediatric Brain Tumor Survivors,Acquired Cognitive Impairment; Behavioral and Social Science; Brain Cancer; Brain Disorders; Cancer; Clinical Research; Clinical Trials and Supportive Activities; Mental Health; Neurosciences; Orphan Drug; Patient Safety; Pediatric; Pediatric Cancer; Rare Diseases; Rehabilitation; 
Statistical collaboration in environmental health research,Assistive Technology; Atherosclerosis; Autoimmune Disease; Bioengineering; Cardiovascular; Heart Disease; Heart Disease - Coronary Heart Disease; 
Mechanisms Underlying Clearance of Persistent Infections,Biotechnology; HIV/AIDS; Immunization; Infectious Diseases; Neurosciences; Vaccine Related; 
Translating the Diabetes Prevention Program to Engage Men in Disadvantaged Areas,Clinical Research; Clinical Trials and Supportive Activities; Comparative Effectiveness Research; Diabetes; Nutrition; Prevention; 
Neural Encoding of Errors in the Cerebellum,Brain Disorders; Neurosciences; 
Homologous Recombination Repair,Cancer; Genetics; 
Optogenetic treatment of social behavior in autism,Autism; Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Genetics; Intellectual and Developmental Disabilities (IDD); Mental Health; Neurosciences; Pediatric; 
Diabetes and its Metabolic Complications,Diabetes; Nutrition; 
High Performance Automated System for Analysis of Fast Cardiac SPECT,Atherosclerosis; Bioengineering; Cardiovascular; Clinical Research; Diagnostic Radiology; Heart Disease; Heart Disease - Coronary Heart Disease; 
Pretargeted Radioimmunotherapy Based on Bioorthogonal Click Chemistry,Bioengineering; Biotechnology; Cancer; Colo-Rectal Cancer; Diagnostic Radiology; Digestive Diseases; 
Factors Associated with HPV Screening and Acquisition in Young Women in Botswana,Behavioral and Social Science; Cancer; Cervical Cancer; Clinical Research; HIV/AIDS; Health Services; Infectious Diseases; Prevention; Sexually Transmitted Diseases/Herpes; 
Targeting Mechanistic Subtypes of Neoplastic Disease,Biotechnology; Cancer; Genetics; Human Genome; Lung; Lung Cancer; Prevention; 
"Signaling by MuSK, a component of the Agrin receptor.",Autoimmune Disease; Biotechnology; Myasthenia Gravis; Neurosciences; Rare Diseases; 
Muscarinic receptor antagonists as a therapy for diabetic neuropathy,Clinical Research; Clinical Trials and Supportive Activities; Diabetes; Neurodegenerative; Neurosciences; Pain Conditions - Chronic; Pain Research; Peripheral Neuropathy; 
Patient Oriented Research in Vitamin D Deficiency in CKD,Clinical Research; Kidney Disease; Nutrition; Prevention; 
Analysis of the cellular and molecular determinants of the human breast hierarchy,Breast Cancer; Cancer; Clinical Research; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; 
Confocal Core for the Laboratory of Cellular and Molecular Biology,Bioengineering; Cancer; Pediatric; 
An Optogenetic Approach to Bone Tissue Engineering,Bioengineering; Biotechnology; Genetics; Neurosciences; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; Transplantation; 
SIGIRR-mediated Tumor Suppression,Autoimmune Disease; Cancer; Colo-Rectal Cancer; Digestive Diseases; Inflammatory Bowel Disease; 
Direct Regulation of Extracellular Proteostasis by the Unfolded Protein Response,Neurodegenerative; Neurosciences; Rare Diseases; 
Contingency Management for Alcohol Use Disorders,"Alcoholism, Alcohol Use and Health; Behavioral and Social Science; Brain Disorders; Clinical Research; Clinical Trials and Supportive Activities; Comparative Effectiveness Research; Substance Abuse; "
Identifying modulators of dynein-based cargo motility,Genetics; Neurosciences; 
Mechanisms of Functional Amyloid Formation,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Brain Disorders; Dementia; Neurodegenerative; Neurosciences; 
Neurotransmitter Regulation of Immunity Through Effects on Endothelial Cells,Autoimmune Disease; Neurosciences; Psoriasis; 
Discovery of BRG1 Inhibitors for Breast Cancer Therapy,Breast Cancer; Cancer; Genetics; 
The Role of Tropomodulin in Dendritic  Spine Development and Synapse Formation,Brain Disorders; Neurosciences; 
Unintended and Intended Implications of HIV Cure: A Social and Ethical Analysis,Behavioral and Social Science; Clinical Research; HIV/AIDS; Infectious Diseases; Prevention; 
Epigenetic Changes in Bone Marrow Progenitor Cells Impair Diabetic Wound Healing,Clinical Research; Diabetes; Genetics; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; 
The Center for HIV RNA Studies (CRNA),HIV/AIDS; 
Training Students in Biomedical Research in Hematology,Cancer; Hematology; 
Cerebrovascular Mechanisms of Slow Gait and Falls,Aging; Brain Disorders; Clinical Research; Diagnostic Radiology; Neurosciences; Pain Conditions - Chronic; Pain Research; Prevention; 
Microfluidic Device to Profile Chemosensitivity in Glioma Slice Cultures,Bioengineering; Biotechnology; Brain Cancer; Brain Disorders; Cancer; Clinical Research; Neurosciences; Orphan Drug; Rare Diseases; 
Analysis and Characterization of Trauma-Induced Coagulopathy,Clinical Research; Emergency Care; Hematology; Injury (total) Accidents/Adverse Effects; 
Optogenetic and Biochemical Studies of Novel Roles of beta-Catenin Modulation/Addiction in Neuronal Differentiation and Apoptosis,Brain Disorders; Genetics; Neurosciences; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; 
Early-Stage Chronic Kidney Disease in HIV-infected Individuals,Behavioral and Social Science; Chronic Liver Disease and Cirrhosis; Clinical Research; Digestive Diseases; Drug Abuse (NIDA only); Emerging Infectious Diseases; HIV/AIDS; Hepatitis; Hepatitis - C; Infectious Diseases; Kidney Disease; Liver Disease; Prevention; Substance Abuse; 
TAF7: A Check-point Regulator in Transcription Initiation,Biotechnology; Cancer; Genetics; 
Targeting PRMT5 in Cancer Initiating Cells as a New Therapy for Glioblastoma,Brain Cancer; Brain Disorders; Cancer; Neurosciences; Rare Diseases; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; 
Ebola Virology,Biodefense; Emerging Infectious Diseases; Infectious Diseases; 
Mechanisms of Fibronectin Extra Domain A in Atherosclerosis,Aging; Atherosclerosis; Cardiovascular; Heart Disease; Heart Disease - Coronary Heart Disease; 
Pharmacology of Rescue from Acoustic Trauma,Neurosciences; 
Using MRI to Understand Disease States that Occur at the Interface of the Brain and the Cerebral Circulation,Acquired Cognitive Impairment; Alzheimer's Disease Related Dementias (ADRD); Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Brain Disorders; Clinical Research; Dementia; Diagnostic Radiology; Neurodegenerative; Neurosciences; Stroke; Vascular Cognitive Impairment/Dementia; 
"OUTREACH, RECRUITMENT AND EDUCATION CORE",Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Brain Disorders; Clinical Research; Dementia; Health Services; Neurodegenerative; Neurosciences; Prevention; 
Improving Cancer Treatment Planning by DMH-Based Inverse Optimization,Cancer; Clinical Research; 
Beside Monitor of Cerebral Metabolism in Premature Infants with Intraventricular Hemorrhage and Post-Hemorrhagic Hydrocephalus,Bioengineering; Brain Disorders; Clinical Research; Diagnostic Radiology; Hydrocephalus; Infant Mortality/ (LBW); Neurosciences; Pediatric; Perinatal - Birth - Preterm (LBW); Perinatal Period - Conditions Originating in Perinatal Period; Prevention; Stroke; 
AMSA: ALXR/FBR Mediated Signaling in Severe Asthma,Asthma; Clinical Research; Lung; 
Integrative Structure Modeling of the Core SPB,Bioengineering; 
Neural control of visual-vestibular behavior,Basic Behavioral and Social Science; Behavioral and Social Science; Eye Disease and Disorders of Vision; Neurosciences; 
Developmental immunotoxicity induced by prenatal cadmium exposure,Autoimmune Disease; Immunization; Pediatric; Pediatric Research Initiative; Prevention; Vaccine Related; 
Systems genetic analysis of methamphetamine's motivational effects in a mouse AIL,Behavioral and Social Science; Biotechnology; Drug Abuse (NIDA only); Genetics; Human Genome; Methamphetamine; Prevention; Substance Abuse; 
RAP as a therapeutic compound for neuronal regeneration after spinal cord injury,Injury (total) Accidents/Adverse Effects; Injury - Trauma - (Head and Spine); Neurodegenerative; Neurosciences; Regenerative Medicine; Spinal Cord Injury; 
Babesiosis Emergence in the United States,Emerging Infectious Diseases; Infectious Diseases; Lyme Disease; Vector-Borne Diseases; 
Substance Abuse Treatment Development and Clinical Research Mentoring,Behavioral and Social Science; Brain Disorders; Clinical Research; Clinical Trials and Supportive Activities; Drug Abuse (NIDA only); Neurosciences; Prevention; Substance Abuse; 
Role of p62 in Amyotrophic Lateral Sclerosis,ALS; Biotechnology; Brain Disorders; Genetics; Neurodegenerative; Neurosciences; Rare Diseases; 
Speech Prosody and Articulatory Dynamics in Spoken Language,Basic Behavioral and Social Science; Behavioral and Social Science; Clinical Research; 
Genetic Analysis of Legionella Phagosome Trafficking,Infectious Diseases; Lung; Pneumonia; Pneumonia & Influenza; 
Regulation of Polycomb Repressive Complex 1 by EZH2 Regulated microRNAs in Cancer,Biotechnology; Cancer; Genetics; Prostate Cancer; Urologic Diseases; 
"Immunity in Skin Development, Homeostasis and Disease",Cancer; 
Targeting Metabolic Alterations to Improve Survival in Pancreatic Cancer,Cancer; Digestive Diseases; Pancreatic Cancer; Rare Diseases; 
Morphogenetic Tissue Movements in Early Embryos,Bioengineering; Networking and Information Technology R&D; 
Leveraging Family Data to Identify Genetic Variants for Sleep Apnea,Aging; Cardiovascular; Clinical Research; Genetics; Heart Disease; Human Genome; Lung; Sleep Research; 
Immune mediated exocytosis of intravesicular UPEC from bladder cells,Infectious Diseases; Urologic Diseases; 
Data Management Core,Biodefense; Clinical Research; Emerging Infectious Diseases; Genetics; HIV/AIDS; Human Genome; Immunization; Infectious Diseases; Prevention; Rare Diseases; Tuberculosis; Vaccine Related; 
CRCNS: Ultra-rapid object localization: Shortcuts in the brain's visual hierarchy,Bioengineering; Clinical Research; Eye Disease and Disorders of Vision; Networking and Information Technology R&D; Neurosciences; 
Exploring the Boundaries of Post-Retrieval Extinction in Anxious Individuals,Anxiety Disorders; Behavioral and Social Science; Brain Disorders; Clinical Research; Mental Health; Post-Traumatic Stress Disorder (PTSD); 
Heart Field Development,Cardiovascular; Heart Disease; 
Roles of motor proteins in cerebellar Purkinje neuron biology,Genetics; Neurosciences; Stem Cell Research; Stem Cell Research - Embryonic - Non-Human; 
